"主题","回复用户","回复内容"
"【百科】绝地求生区资料导航贴","我是刘坚","为❤古❤酱❤疯❤狂❤打❤电❤话发自虎扑iPhone客户端"
"【百科】绝地求生区资料导航贴","Westbruuk","好东西 谢谢楼主了发自虎扑iPhone客户端"
"杀人王线下聚会！","难受啊醒","合计拿了80几万奖金，还不一人一盆小龙虾？ "
"[流言板]第二届Mars绝地求生精英赛将在6月16日开战，本次比赛全程采用FPP模式","做咸鱼是梦啊","是我看漏了吗，17 4AM ifty 一个都没有？？？发自虎扑Android客户端"
"杀人王线下聚会！","再上网剁手","103 gay里gay气的。发自手机虎扑 m.hupu.com"
"杀人王线下聚会！","二锅有排面呀","引用13楼 @wydwydwyd1 发表的:每次都是这家小龙虾？怕不是这家小龙虾211有股份吧发自虎扑iPhone客户端"
"杀人王线下聚会！","再上网剁手","新一代素质广场明星。。。RUN酱发自手机虎扑 m.hupu.com"
"杀人王线下聚会！","再上网剁手","堡垒来了，103还是gay里gay气的。。。发自手机虎扑 m.hupu.com"
"杀人王线下聚会！","再上网剁手","蛋总圆嘟嘟的。。。发自手机虎扑 m.hupu.com"
"杀人王线下聚会！","再上网剁手","杀人王211和K神。。。发自手机虎扑 m.hupu.com"
"杀人王线下聚会！","魏嗔嗔","引用2楼 @难受啊醒 发表的:合计拿了80几万奖金，还不一人一盆小龙虾？ 阿聪说了要aa 谁请客都不好发自虎扑iPhone客户端"
"PCPI后，你记住了哪些以前不知道的选手？","稳妥say","瞎比搞zszs发自虎扑Android客户端"
"聊一下绝地求生，给新手顺便介绍下选手","17shouq","百花齐放，百家争鸣。期待国服早点出来"
"[虎扑绝地求生复盘]PCPI决赛日TPP模式4AM吃鸡：破釜沉舟，百二秦关终属楚（zhu）","胡先森是个逻辑怪","额，17跟estar遭遇交火减员的是shox大京京队啊，这种信息别搞错啊发自虎扑iPhone客户端"
"PCPI后，你记住了哪些以前不知道的选手？","威尔斯L","小饼干没牌面发自虎扑Android客户端"
"PCPI后，你记住了哪些以前不知道的选手？","为你牛牛牛","除了211，小狮子表现很好外，最让我惊喜的是青木川的表现，作为一个17粉对他的枪法没有完全认识，这次兽逼承包了探点、突击、指挥、断后架枪外把主要输出位留给了大京或川川，大京爆发我不意外，川川的红点、极限反应、各种1VN真的秀，关键还是一个18岁的小伙子，希望继续加油！早日跟兽逼一起拿下冠军！发自虎扑iPhone客户端"
"PCPI后，你记住了哪些以前不知道的选手？","小卢和小熊","其实这些都还不够突出，不算非常优秀，还是唯一K神，NB211，堡垒出彩，另外这次阿鲁卡真是超长发挥。"
"PCPI后，你记住了哪些以前不知道的选手？","VcccLici","瞎逼搞……发自虎扑Android客户端"
"PCPI后，你记住了哪些以前不知道的选手？","Polarisleo","一  scsaopi单人四排有点6。二  1246zixuan思路清晰，而且gaygay的。三  17qmc多次一打二打三 发挥有点出乎意料。四  xq芒仔 实力有点强，采访的时候qeqr有点可爱。第一时间能想起来的就这几个。发自虎扑Android客户端"
"PCPI后，你记住了哪些以前不知道的选手？","跟我尾食我屁","印象最深的还是LGD_TJW和karl这两个人，几乎每次都是队里最后才死的π_π发自虎扑Android客户端"
"PCPI后，你记住了哪些以前不知道的选手？","tearfish12","瞎逼搞 sc骚皮 vta的卡迪 其他很多很早就认识了发自虎扑iPhone客户端"
"PCPI后，你记住了哪些以前不知道的选手？","世界五彩我执独白","ost的瑞瑞，小脏辫很有个性对了，还有xq的盲仔，采访的时候qeqe发自虎扑iPhone客户端"
"PCPI后，你记住了哪些以前不知道的选手？","玮德噶1197","瞎比搞，虽然香蕉赛就知道了他。1246，KG，AG这些就不说了，常看他们训练赛的都知道他们挺强的。VTA.Kadi，虽然以前看比赛见过，但这次真是出彩了。莫也很强。V5全队算是大黑马了。XQ.Z9max。VG那个一串三，飞吻的兄弟。跑男这次绝对是惊喜，打出了别人意想不到的，那波灵性绕后很🐂🍺青木川一串三，我觉得他去17后变强了。RNG两轮败者组打的很强势，印象深刻。但决赛的时候迷了，不是流量队所以没人喷他们。发自虎扑iPhone客户端"
"[虎扑绝地求生复盘]PCPI决赛日TPP模式4AM吃鸡：破釜沉舟，百二秦关终属楚（zhu）","S4turn","百二秦关终属🐷  气得很发自虎扑Android客户端"
"[虎扑绝地求生复盘]PCPI决赛日TPP模式4AM吃鸡：破釜沉舟，百二秦关终属楚（zhu）","4angrypig","发自虎扑Android客户端"
"[虎扑绝地求生复盘]PCPI决赛日TPP模式4AM吃鸡：破釜沉舟，百二秦关终属楚（zhu）","Dw_24","枪线完全展开，最后一个同心圆，虽然小兵在圈内，但是他没有能抵挡住孤存的最后一枪。恭喜4am，完成惊天大逆转。粤语:大师兄，回来了发自虎扑iPhone客户端"
"[虎扑绝地求生复盘]PCPI决赛日TPP模式4AM吃鸡：破釜沉舟，百二秦关终属楚（zhu）","代代可可脂","补充一下，EF转移的时候，碰到了4AM，阿鲁卡山头扫车导致EF调转方向往R城右边那座走，才有了所谓灵性漂移…发自虎扑iPhone客户端"
"[虎扑绝地求生复盘]PCPI决赛日TPP模式4AM吃鸡：破釜沉舟，百二秦关终属楚（zhu）","你要干啥呢","看的我手发抖。最后一场，我是真的不抱有希望的发自虎扑iPhone客户端"
