content,topic,userid
"



突如其来的骚，闪了我的腰，你咋那么优秀呢？不过发这种帖子，得谨慎！




",将各战队和全职里的队做下配比,这只橘猫不太肥
"



学17可以，4am就别学了，容易暴毙。
发自手机虎扑 m.hupu.com



",强队和弱队的区别，即ifty和17、4am的区别。（求推荐让大哥看到）,雷达叔叔真好玩
"



引用1楼 @雷达叔叔真好玩 发表的:学17可以，4am就别学了，容易暴毙。哈哈哈，严重同意，TPP战术思路学VTA，打正面学17或OMG，4AM真的玄学




",强队和弱队的区别，即ifty和17、4am的区别。（求推荐让大哥看到）,请保持幽默感
"



昨天joy有个建议非常好。训练赛还是要多训练平推、慢进圈。特别Fpp。这样很能提升队伍综合能力。训练赛一鸡不吃都无所谓。
发自虎扑iPhone客户端



",强队和弱队的区别，即ifty和17、4am的区别。（求推荐让大哥看到）,星小辰辰baby
"



为❤古❤酱❤疯❤狂❤打❤电❤话
发自虎扑iPhone客户端



",【百科】绝地求生区资料导航贴,我是刘坚
"



好东西 谢谢楼主了
发自虎扑iPhone客户端



",【百科】绝地求生区资料导航贴,Westbruuk
"



孤少：啥？咋了，什么情况？这么激动吗？最后一个人不是我杀的吗？我要跟着激动一下吗？好烦这些b，不提前跟我说一声，我也要一起激动啊！
发自虎扑iPhone客户端



",孤少这么镇定的么？,读书多骗不了我
"



来了来了来了
发自虎扑Android客户端



",孤少这么镇定的么？,ZefirDva
"



反射弧有点长，还是阿鲁最真实，之前龙珠SOLO吃鸡那把这B也是这样。




",孤少这么镇定的么？,MMUSIC
"



引用4楼 @微胖2333 发表的:我感觉有人要发那个大吼的图片了Zszszs这个么？
发自虎扑iPhone客户端



",孤少这么镇定的么？,她老亲我
"



不是说了吗 他跟不上其他三个人节奏




",孤少这么镇定的么？,JoeyZhang159210
"



存存只是被阿鲁扔耳机吓坏了。。。




",孤少这么镇定的么？,Milanne
"



引用38楼 @花开花相随丶 发表的:醒目打了一个之后被击倒，孤少打倒一个然后没子弹了，一对一孤少还有好像还有6发还是9发子弹，倒地的醒目送子弹，然后iftv饶孤少左边被阿鲁击杀。是孤存先与拷人对枪，赢了   然后cpt被大哥  soso集火打倒   孤存又与大哥对枪赢了   剩下9发子弹   双方都不敢打  互卡   cpt火线送子弹   孤存把soso打残    aluka最后收掉    说孤存一穿三   单人灭ifty不过分    这波也是4am最生死存亡的时候    cpt被打倒   韦神在救aluka    如果孤存倒了   非常难说
发自虎扑Android客户端



",孤少这么镇定的么？,神经中的幻想
"



都上嘴了，你跟我说淡定😏
发自虎扑Android客户端



",孤少这么镇定的么？,爱吃金豆的大尾巴
"



把我们小存存吓坏了。




",孤少这么镇定的么？,恋旧的文西
"



孤少:阿鲁这个b为什么扔耳机啊，吓死我了，我要不要也扔呢。。。算了算了，我要保住我的人设不能崩！！
发自虎扑Android客户端



",孤少这么镇定的么？,moonk213
"



这波孤存一穿三  是4am最关键的时候！  没有这波   4am真的出不了线
发自虎扑Android客户端



",孤少这么镇定的么？,神经中的幻想
"



。。因为他没有算分啊，后面韦神告他分绝对够了，孤少也笑得很开心。。。
发自手机虎扑 m.hupu.com



",孤少这么镇定的么？,BadRo
"



存存只是有点含蓄，不知道怎么表达。大家一起闹他也很开心的。
发自虎扑Android客户端



",孤少这么镇定的么？,21槑7
"



引用7楼 @ZefirDva 发表的:来了来了来了我就知道会有这张图片  微博都是猪头跟阿鲁卡卡的  哈哈哈哈




",孤少这么镇定的么？,mmmm4am
"



这个我承认，就是这个战队太菜了
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,爱你爱你在一起
"



我FGA不服。
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,张曼源我女票
"



马牛逼晚上直播饿了都只能自己炒饭吃（滑稽）
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,Scutumhy
"



是真的淡定啊！
发自虎扑iPhone客户端



",孤少这么镇定的么？,只能设置一次的昵称
"



大京除了定妆照，什么时候都好看
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,秦歌Q
"



我XQ不服。
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,麦咭sir
"



笑容:你是不是对颜值有什么误解？？？
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,Ahler
"



Fga颜值碾压！新来的小豪有点像土鸡，愣愣的，不愧是土鸡的朋友，还有替补队员Fga mer 绝地一枝花！
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,Polarisleo
"



我4阿妹颜值一队表示不服
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,我是波尔津吉斯
"



引用27楼 @果酱呀 发表的:那当然是我土鸡最帅了，有不服的吗？土鸡：有人说我帅？反正我个人是觉得大京是17最帅的
[ 此帖被生德韦大在2018-05-31 11:45修改 ]
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,生德韦大
"



引用48楼 @亦念的光泽 发表的:布谷鸟，掏鸡窝也挺帅的好吧布谷鸟帅，很清新的感觉，而且声音贼好听，绝地第一声优不过分吧
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,是小谢SAMA
"



我觉得XQ才是绝地颜值牌的黄埔军校
发自手机虎扑 m.hupu.com



",17战队是绝地颜值最高，身材最好的战队吧？,faker的电竞梦
"



我觉得没毛病
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,呵小饼干
"



错了FGA才是最帅的，阿聪小文2大帅哥。
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,失眠暴力熊
"



引用19楼 @亦念的光泽 发表的:我感觉老干爹是颜值最高的战队。还有这个紫阳，好像是cdec（老干爹二队）的
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,亦念的光泽
"



我FGA不服，A姓男子、骚文不给你整的明明白白的。
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,mango绵绵冰
"



引用3楼 @我是波尔津吉斯 发表的:我4阿妹颜值一队表示不服论颜值 孤存是不应该来pcpi的
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,裴秀智圈外小男友
"



XQ整体感觉很不错论颜值，xiaorong那样的才算颜值吧17平均水平还行，不过都太瘦了。撑不起衣服来。




",17战队是绝地颜值最高，身材最好的战队吧？,UcanUup
"



引用3楼 @我是波尔津吉斯 发表的:我4阿妹颜值一队表示不服17粉觉得永远好好看！！！！！4am颜值一队没跑了。肯尼也挺帅！！
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,可爱不是长久之计我是
"



这样不是把运气成分加持到最大了吗？
发自虎扑iPhone客户端



",提一个关于职业比赛的意见！请各位大神看看！,喜西啊
"



我ifty决赛都被打自闭了，也好就留给我们吧
发自虎扑Android客户端



",【讨论】4AM可否邀请5400和也好来个集训的可能性？,往事秋刀鱼
"



5400老师微博说自己是愿意的
发自虎扑iPhone客户端



",【讨论】4AM可否邀请5400和也好来个集训的可能性？,手持玉米的赫鲁晓夫
"



昨晚龙神户外直播时肯尼自己说了他很难转做教练，做教练要当黑脸，但他已经融入他们了，当不了黑脸。其实可以找几只队伍或者单独和omg一起开乱斗模式，演练攻房守房战术，以及对枪能力，大家都知道国外队伍枪很刚，都是打头，所以枪法还是要练。




",【讨论】4AM可否邀请5400和也好来个集训的可能性？,4am小兔子
"



这两个人感觉用处不大要请去请joy吧
发自虎扑iPhone客户端



",【讨论】4AM可否邀请5400和也好来个集训的可能性？,赶死黄旭东
"



引用18楼 @newstep 发表的:效果不大   5400和也好并没有fps功底，4am缺的是对fps的理解fps功底在这个游戏只是一部分，这部分就是枪法，恰巧枪法又不是教练可以教的，练枪法只能等蓝洞出更多的训练模式，选手自己练习，毕竟吃鸡的枪械设计和别的游戏又不一样，别的练习方法只能练反应，练不了准度。4am缺的是如何根据场上形势判断点位的选择和进圈的时机，这是教练可以教的，但光教练又不够，还需要强大的数据分析。所以这是一套系统性的东西。不是一两个人可以解决的事情
发自虎扑iPhone客户端



",【讨论】4AM可否邀请5400和也好来个集训的可能性？,卡恩尼思
